guid,label,output
100courics_chunk1_0,Hungarian,Hungarian
100courics_chunk1_1,Hungarian,Hungarian
100courics_chunk1_2,Hungarian,Hungarian
100courics_chunk2_0,Hungarian,Hungarian
100courics_chunk2_1,Hungarian,Hungarian
100courics_chunk2_2,Hungarian,Bulgarian
100courics_chunk2_3,Hungarian,Bulgarian
100courics_chunk2_4,Hungarian,Spanish
100courics_chunk3_0,Hungarian,Bulgarian
100courics_chunk3_1,Hungarian,Romanian
100courics_chunk3_2,Hungarian,Hungarian
100courics_chunk4_0,Hungarian,Bulgarian
100courics_chunk4_1,Hungarian,Bulgarian
100courics_chunk4_2,Hungarian,Romanian
100courics_chunk5_0,Hungarian,Greek
100courics_chunk5_1,Hungarian,Greek
100courics_chunk5_2,Hungarian,Serbian
100courics_chunk6_0,Hungarian,Hungarian
100courics_chunk6_1,Hungarian,Hungarian
100courics_chunk6_2,Hungarian,Hungarian
100courics_chunk7_0,Hungarian,Hungarian
100courics_chunk7_1,Hungarian,Hungarian
100courics_chunk7_2,Hungarian,Hungarian
100courics_chunk7_3,Hungarian,Greek
100courics_chunk8_0,Hungarian,Hungarian
100courics_chunk8_1,Hungarian,Hungarian
100courics_chunk8_2,Hungarian,Romanian
100courics_chunk8_3,Hungarian,Romanian
3dom_chunk10_0,Russian,Bulgarian
3dom_chunk10_1,Russian,Greek
3dom_chunk10_2,Russian,Bulgarian
3dom_chunk10_3,Russian,Bulgarian
3dom_chunk10_4,Russian,Greek
3dom_chunk11_0,Russian,Russian
3dom_chunk11_1,Russian,Bulgarian
3dom_chunk11_2,Russian,Bulgarian
3dom_chunk11_3,Russian,Greek
3dom_chunk11_4,Russian,Russian
3dom_chunk12_0,Russian,Greek
3dom_chunk12_1,Russian,Greek
3dom_chunk12_2,Russian,Greek
3dom_chunk12_3,Russian,Greek
3dom_chunk13_0,Russian,Spanish
3dom_chunk13_1,Russian,Spanish
3dom_chunk14_0,Russian,Greek
3dom_chunk14_1,Russian,Greek
3dom_chunk14_2,Russian,Greek
3dom_chunk14_3,Russian,Italian
3dom_chunk15_0,Russian,Greek
3dom_chunk15_1,Russian,Greek
3dom_chunk15_2,Russian,Bulgarian
3dom_chunk16_0,Russian,Russian
3dom_chunk16_1,Russian,Greek
3dom_chunk16_2,Russian,Bulgarian
3dom_chunk16_3,Russian,Russian
3dom_chunk17_0,Russian,Greek
3dom_chunk17_1,Russian,Bulgarian
3dom_chunk17_2,Russian,Bulgarian
3dom_chunk1_0,Russian,Greek
3dom_chunk1_1,Russian,Greek
3dom_chunk1_2,Russian,Greek
3dom_chunk1_3,Russian,Greek
3dom_chunk2_0,Russian,Greek
3dom_chunk2_1,Russian,Greek
3dom_chunk2_2,Russian,Greek
3dom_chunk3_0,Russian,Spanish
3dom_chunk3_1,Russian,Spanish
3dom_chunk4_0,Russian,Greek
3dom_chunk4_1,Russian,Greek
3dom_chunk4_2,Russian,Greek
3dom_chunk4_3,Russian,Greek
3dom_chunk5_0,Russian,Greek
3dom_chunk5_1,Russian,Greek
3dom_chunk5_2,Russian,Greek
3dom_chunk5_3,Russian,Bulgarian
3dom_chunk6_0,Russian,Greek
3dom_chunk6_1,Russian,Greek
3dom_chunk6_2,Russian,Greek
3dom_chunk6_3,Russian,Greek
3dom_chunk7_0,Russian,Greek
3dom_chunk7_1,Russian,Greek
3dom_chunk7_2,Russian,Spanish
3dom_chunk8_0,Russian,Greek
3dom_chunk8_1,Russian,Greek
3dom_chunk8_2,Russian,Greek
3dom_chunk8_3,Russian,Greek
3dom_chunk9_0,Russian,Greek
3dom_chunk9_1,Russian,Greek
3dom_chunk9_2,Russian,Greek
3dom_chunk9_3,Russian,Greek
3dom_chunk9_4,Russian,Greek
6TLaRm4g_chunk10_0,Lithuanian,Bulgarian
6TLaRm4g_chunk10_1,Lithuanian,Bulgarian
6TLaRm4g_chunk10_2,Lithuanian,Greek
6TLaRm4g_chunk11_0,Lithuanian,Bulgarian
6TLaRm4g_chunk11_1,Lithuanian,Bulgarian
6TLaRm4g_chunk11_2,Lithuanian,Greek
6TLaRm4g_chunk12_0,Lithuanian,Greek
6TLaRm4g_chunk12_1,Lithuanian,Greek
6TLaRm4g_chunk12_2,Lithuanian,Greek
6TLaRm4g_chunk13_0,Lithuanian,Lithuanian
6TLaRm4g_chunk13_1,Lithuanian,Lithuanian
6TLaRm4g_chunk13_2,Lithuanian,Greek
6TLaRm4g_chunk14_0,Lithuanian,Greek
6TLaRm4g_chunk14_1,Lithuanian,Greek
6TLaRm4g_chunk14_2,Lithuanian,Greek
6TLaRm4g_chunk15_0,Lithuanian,Greek
6TLaRm4g_chunk15_1,Lithuanian,Greek
6TLaRm4g_chunk15_2,Lithuanian,Greek
6TLaRm4g_chunk15_3,Lithuanian,Lithuanian
6TLaRm4g_chunk16_0,Lithuanian,Greek
6TLaRm4g_chunk16_1,Lithuanian,Bulgarian
6TLaRm4g_chunk16_2,Lithuanian,Bulgarian
6TLaRm4g_chunk17_0,Lithuanian,Spanish
6TLaRm4g_chunk17_1,Lithuanian,Greek
6TLaRm4g_chunk17_2,Lithuanian,Bulgarian
6TLaRm4g_chunk17_3,Lithuanian,Bulgarian
6TLaRm4g_chunk1_0,Lithuanian,Russian
6TLaRm4g_chunk1_1,Lithuanian,Russian
6TLaRm4g_chunk1_2,Lithuanian,Bulgarian
6TLaRm4g_chunk1_3,Lithuanian,Russian
6TLaRm4g_chunk2_0,Lithuanian,Greek
6TLaRm4g_chunk2_1,Lithuanian,Greek
6TLaRm4g_chunk2_2,Lithuanian,Greek
6TLaRm4g_chunk3_0,Lithuanian,Bulgarian
6TLaRm4g_chunk3_1,Lithuanian,Greek
6TLaRm4g_chunk3_2,Lithuanian,Greek
6TLaRm4g_chunk3_3,Lithuanian,Serbian
6TLaRm4g_chunk4_0,Lithuanian,Greek
6TLaRm4g_chunk4_1,Lithuanian,Bulgarian
6TLaRm4g_chunk4_2,Lithuanian,Greek
6TLaRm4g_chunk5_0,Lithuanian,Bulgarian
6TLaRm4g_chunk5_1,Lithuanian,Bulgarian
6TLaRm4g_chunk5_2,Lithuanian,Bulgarian
6TLaRm4g_chunk5_3,Lithuanian,Bulgarian
6TLaRm4g_chunk6_0,Lithuanian,Greek
6TLaRm4g_chunk6_1,Lithuanian,Bulgarian
6TLaRm4g_chunk6_2,Lithuanian,Greek
6TLaRm4g_chunk7_0,Lithuanian,Greek
6TLaRm4g_chunk7_1,Lithuanian,Bulgarian
6TLaRm4g_chunk7_2,Lithuanian,Greek
6TLaRm4g_chunk7_3,Lithuanian,Greek
6TLaRm4g_chunk8_0,Lithuanian,Greek
6TLaRm4g_chunk8_1,Lithuanian,Bulgarian
6TLaRm4g_chunk8_2,Lithuanian,Bulgarian
6TLaRm4g_chunk9_0,Lithuanian,Greek
6TLaRm4g_chunk9_1,Lithuanian,Bulgarian
6TLaRm4g_chunk9_2,Lithuanian,Greek
ACCount82_chunk10_0,Russian,Greek
ACCount82_chunk10_1,Russian,Greek
ACCount82_chunk10_2,Russian,Italian
ACCount82_chunk10_3,Russian,Italian
ACCount82_chunk11_0,Russian,Greek
ACCount82_chunk11_1,Russian,Greek
ACCount82_chunk11_2,Russian,Greek
ACCount82_chunk11_3,Russian,Greek
ACCount82_chunk12_0,Russian,Russian
ACCount82_chunk12_1,Russian,Bulgarian
ACCount82_chunk12_2,Russian,Bulgarian
ACCount82_chunk12_3,Russian,Greek
ACCount82_chunk13_0,Russian,Greek
ACCount82_chunk13_1,Russian,Greek
ACCount82_chunk13_2,Russian,Greek
ACCount82_chunk13_3,Russian,Greek
ACCount82_chunk14_0,Russian,Greek
ACCount82_chunk14_1,Russian,Greek
ACCount82_chunk14_2,Russian,Greek
ACCount82_chunk14_3,Russian,Lithuanian
ACCount82_chunk15_0,Russian,Greek
ACCount82_chunk15_1,Russian,Greek
ACCount82_chunk15_2,Russian,Greek
ACCount82_chunk16_0,Russian,Greek
ACCount82_chunk16_1,Russian,Greek
ACCount82_chunk16_2,Russian,Greek
ACCount82_chunk16_3,Russian,Bulgarian
ACCount82_chunk17_0,Russian,Greek
ACCount82_chunk17_1,Russian,Greek
ACCount82_chunk17_2,Russian,Greek
ACCount82_chunk17_3,Russian,Greek
ACCount82_chunk1_0,Russian,Greek
ACCount82_chunk1_1,Russian,Greek
ACCount82_chunk1_2,Russian,Greek
ACCount82_chunk2_0,Russian,Bulgarian
ACCount82_chunk2_1,Russian,Greek
ACCount82_chunk2_2,Russian,Greek
ACCount82_chunk3_0,Russian,Bulgarian
ACCount82_chunk3_1,Russian,Bulgarian
ACCount82_chunk3_2,Russian,Greek
ACCount82_chunk4_0,Russian,Greek
ACCount82_chunk4_1,Russian,Greek
ACCount82_chunk4_2,Russian,Greek
ACCount82_chunk5_0,Russian,Bulgarian
ACCount82_chunk5_1,Russian,Greek
ACCount82_chunk5_2,Russian,Greek
ACCount82_chunk5_3,Russian,Greek
ACCount82_chunk6_0,Russian,Bulgarian
ACCount82_chunk6_1,Russian,Greek
ACCount82_chunk6_2,Russian,Greek
ACCount82_chunk7_0,Russian,Greek
ACCount82_chunk7_1,Russian,Greek
ACCount82_chunk7_2,Russian,Greek
ACCount82_chunk8_0,Russian,Bulgarian
ACCount82_chunk8_1,Russian,Greek
ACCount82_chunk8_2,Russian,Greek
ACCount82_chunk8_3,Russian,Greek
ACCount82_chunk9_0,Russian,Greek
ACCount82_chunk9_1,Russian,Greek
ACCount82_chunk9_2,Russian,Greek
AccountHaver25_chunk10_0,English,Greek
AccountHaver25_chunk10_1,English,Italian
AccountHaver25_chunk10_2,English,Serbian
AccountHaver25_chunk11_0,English,Greek
AccountHaver25_chunk11_1,English,Spanish
AccountHaver25_chunk11_2,English,Greek
AccountHaver25_chunk12_0,English,Greek
AccountHaver25_chunk12_1,English,Greek
AccountHaver25_chunk12_2,English,Greek
AccountHaver25_chunk13_0,English,Greek
AccountHaver25_chunk13_1,English,Spanish
AccountHaver25_chunk13_2,English,Greek
AccountHaver25_chunk14_0,English,Bulgarian
AccountHaver25_chunk14_1,English,Greek
AccountHaver25_chunk14_2,English,Greek
AccountHaver25_chunk15_0,English,Czech
AccountHaver25_chunk15_1,English,Bulgarian
AccountHaver25_chunk15_2,English,Greek
AccountHaver25_chunk15_3,English,Bulgarian
AccountHaver25_chunk16_0,English,Greek
AccountHaver25_chunk16_1,English,Greek
AccountHaver25_chunk16_2,English,Greek
AccountHaver25_chunk17_0,English,Greek
AccountHaver25_chunk17_1,English,Spanish
AccountHaver25_chunk17_2,English,Italian
AccountHaver25_chunk1_0,English,Greek
AccountHaver25_chunk1_1,English,Greek
AccountHaver25_chunk1_2,English,Spanish
AccountHaver25_chunk2_0,English,Italian
