guid,input,output,input_label,output_label
00731,8.0,5.0,SPA,ITA
06916,1.0,1.0,CHI,CHI
00282,10.0,6.0,TUR,JPN
05323,1.0,1.0,CHI,CHI
08672,8.0,8.0,SPA,SPA
06213,9.0,4.0,TEL,HIN
04291,6.0,1.0,JPN,CHI
07236,3.0,3.0,GER,GER
01497,8.0,5.0,SPA,ITA
11964,4.0,4.0,HIN,HIN
03094,0.0,0.0,ARA,ARA
01817,5.0,5.0,ITA,ITA
06774,9.0,10.0,TEL,TUR
11512,10.0,10.0,TUR,TUR
09487,8.0,8.0,SPA,SPA
04053,3.0,3.0,GER,GER
02921,5.0,5.0,ITA,ITA
06767,7.0,6.0,KOR,JPN
05730,5.0,5.0,ITA,ITA
04306,5.0,5.0,ITA,ITA
03588,1.0,2.0,CHI,FRE
07795,0.0,1.0,ARA,CHI
10312,0.0,0.0,ARA,ARA
04329,4.0,0.0,HIN,ARA
12185,3.0,10.0,GER,TUR
05248,10.0,3.0,TUR,GER
05582,6.0,6.0,JPN,JPN
04447,6.0,1.0,JPN,CHI
11191,2.0,2.0,FRE,FRE
11756,5.0,3.0,ITA,GER
10530,6.0,6.0,JPN,JPN
02263,4.0,9.0,HIN,TEL
00693,4.0,4.0,HIN,HIN
10908,6.0,6.0,JPN,JPN
03624,6.0,6.0,JPN,JPN
03005,9.0,9.0,TEL,TEL
06209,8.0,5.0,SPA,ITA
08760,1.0,6.0,CHI,JPN
04261,5.0,5.0,ITA,ITA
04903,1.0,1.0,CHI,CHI
01715,0.0,8.0,ARA,SPA
07125,10.0,4.0,TUR,HIN
00289,0.0,1.0,ARA,CHI
06572,1.0,6.0,CHI,JPN
02690,10.0,1.0,TUR,CHI
06496,7.0,1.0,KOR,CHI
05145,6.0,6.0,JPN,JPN
00734,7.0,6.0,KOR,JPN
10098,1.0,1.0,CHI,CHI
10746,9.0,9.0,TEL,TEL
04509,9.0,4.0,TEL,HIN
02545,5.0,5.0,ITA,ITA
09811,3.0,10.0,GER,TUR
00056,4.0,4.0,HIN,HIN
02014,3.0,3.0,GER,GER
05846,10.0,10.0,TUR,TUR
12595,9.0,0.0,TEL,ARA
01833,7.0,7.0,KOR,KOR
09717,7.0,6.0,KOR,JPN
10084,2.0,1.0,FRE,CHI
07606,1.0,1.0,CHI,CHI
01320,7.0,7.0,KOR,KOR
03249,6.0,6.0,JPN,JPN
03013,2.0,8.0,FRE,SPA
08310,3.0,3.0,GER,GER
07369,5.0,5.0,ITA,ITA
01079,6.0,6.0,JPN,JPN
05436,6.0,6.0,JPN,JPN
10164,2.0,8.0,FRE,SPA
06702,6.0,6.0,JPN,JPN
01136,1.0,7.0,CHI,KOR
08339,4.0,4.0,HIN,HIN
07333,4.0,4.0,HIN,HIN
00304,2.0,1.0,FRE,CHI
00350,1.0,7.0,CHI,KOR
04233,6.0,6.0,JPN,JPN
11603,6.0,1.0,JPN,CHI
00158,2.0,2.0,FRE,FRE
09630,8.0,8.0,SPA,SPA
01314,8.0,5.0,SPA,ITA
06451,0.0,8.0,ARA,SPA
02318,0.0,0.0,ARA,ARA
07884,8.0,5.0,SPA,ITA
04966,8.0,8.0,SPA,SPA
09424,2.0,5.0,FRE,ITA
09178,1.0,7.0,CHI,KOR
02888,4.0,4.0,HIN,HIN
06537,1.0,5.0,CHI,ITA
06649,1.0,1.0,CHI,CHI
07217,4.0,4.0,HIN,HIN
01343,4.0,4.0,HIN,HIN
07788,5.0,5.0,ITA,ITA
07835,6.0,6.0,JPN,JPN
10083,9.0,9.0,TEL,TEL
10863,1.0,2.0,CHI,FRE
01531,1.0,1.0,CHI,CHI
04321,10.0,9.0,TUR,TEL
02113,7.0,6.0,KOR,JPN
05550,0.0,0.0,ARA,ARA
09987,6.0,7.0,JPN,KOR
04336,5.0,5.0,ITA,ITA
03890,0.0,9.0,ARA,TEL
06615,2.0,2.0,FRE,FRE
07696,8.0,8.0,SPA,SPA
10634,8.0,8.0,SPA,SPA
04869,0.0,10.0,ARA,TUR
00333,6.0,7.0,JPN,KOR
08048,1.0,6.0,CHI,JPN
07783,3.0,3.0,GER,GER
12089,10.0,0.0,TUR,ARA
09467,4.0,3.0,HIN,GER
03322,9.0,9.0,TEL,TEL
10715,10.0,10.0,TUR,TUR
10654,9.0,4.0,TEL,HIN
09649,3.0,3.0,GER,GER
09118,3.0,2.0,GER,FRE
04290,7.0,6.0,KOR,JPN
12993,3.0,2.0,GER,FRE
08522,3.0,3.0,GER,GER
10817,1.0,6.0,CHI,JPN
02823,7.0,7.0,KOR,KOR
06795,1.0,1.0,CHI,CHI
00846,6.0,8.0,JPN,SPA
06195,0.0,0.0,ARA,ARA
02930,5.0,5.0,ITA,ITA
02808,7.0,7.0,KOR,KOR
