guid,label,output
201109212215_chunk1_0,French,Dutch
201109212215_chunk1_1,French,Turkish
201109212215_chunk1_2,French,Dutch
201109212215_chunk2_0,French,French
201109212215_chunk2_1,French,Italian
201109212215_chunk2_2,French,Greek
201109212215_chunk3_0,French,French
201109212215_chunk3_1,French,French
201109212215_chunk3_2,French,French
5DNY_chunk1_0,English,English
5DNY_chunk1_1,English,Turkish
5DNY_chunk1_2,English,English
6TLaRm4g_chunk1_0,Lithuanian,Russian
6TLaRm4g_chunk1_1,Lithuanian,Turkish
6TLaRm4g_chunk1_2,Lithuanian,Lithuanian
6TLaRm4g_chunk1_3,Lithuanian,Lithuanian
6TLaRm4g_chunk2_0,Lithuanian,Russian
6TLaRm4g_chunk2_1,Lithuanian,Lithuanian
6TLaRm4g_chunk2_2,Lithuanian,Czech
6TLaRm4g_chunk2_3,Lithuanian,Lithuanian
854850_chunk1_0,Dutch,Hungarian
854850_chunk1_1,Dutch,Norwegian
854850_chunk1_2,Dutch,Finish
854850_chunk1_3,Dutch,Serbian
854850_chunk1_4,Dutch,Romanian
ACircledSquare_chunk1_0,Greek,Greek
ACircledSquare_chunk1_1,Greek,Greek
ACircledSquare_chunk1_2,Greek,Greek
ACircledSquare_chunk1_3,Greek,Greek
AGuyWithARaygun_chunk1_0,Russian,Russian
AGuyWithARaygun_chunk1_1,Russian,Russian
AGuyWithARaygun_chunk2_0,Russian,Russian
AGuyWithARaygun_chunk2_1,Russian,Russian
AGuyWithARaygun_chunk3_0,Russian,French
AGuyWithARaygun_chunk3_1,Russian,Russian
Andaru_chunk1_0,Italian,Italian
Andaru_chunk1_1,Italian,Italian
Andaru_chunk1_2,Italian,Italian
Andaru_chunk1_3,Italian,Italian
Andaru_chunk1_4,Italian,Slovenian
Andaru_chunk2_0,Italian,Italian
Andaru_chunk2_1,Italian,Italian
Andaru_chunk2_2,Italian,Italian
Andaru_chunk2_3,Italian,Italian
Andaru_chunk2_4,Italian,Italian
Andaru_chunk2_5,Italian,Italian
Andaru_chunk3_0,Italian,Czech
Andaru_chunk3_1,Italian,Italian
Andaru_chunk3_2,Italian,Czech
Andaru_chunk3_3,Italian,Italian
Andaru_chunk3_4,Italian,Italian
Angeldust01_chunk1_0,Finish,Finish
Angeldust01_chunk1_1,Finish,German
Angeldust01_chunk1_2,Finish,Czech
Angeldust01_chunk1_3,Finish,Russian
Angeldust01_chunk2_0,Finish,Finish
Angeldust01_chunk2_1,Finish,Lithuanian
Angeldust01_chunk2_2,Finish,Finish
Angeldust01_chunk2_3,Finish,Bulgarian
Angeldust01_chunk3_0,Finish,Turkish
