guid,input,output,logit,input_label,output_label
00731,0.0,0.0,3.1999459266662598,0,0
06916,0.0,0.0,2.866142511367798,0,0
00282,0.0,0.0,3.20953369140625,0,0
05323,0.0,0.0,3.2794933319091797,0,0
08672,0.0,0.0,3.274566650390625,0,0
06213,0.0,0.0,3.159008502960205,0,0
04291,0.0,0.0,3.298267126083374,0,0
07236,0.0,0.0,3.139817476272583,0,0
01497,0.0,0.0,3.2491345405578613,0,0
11964,0.0,0.0,3.2915515899658203,0,0
03094,0.0,0.0,3.245537519454956,0,0
01817,0.0,0.0,0.7587806582450867,0,0
06774,0.0,0.0,3.207217216491699,0,0
11512,0.0,0.0,3.2409250736236572,0,0
09487,0.0,0.0,3.0622029304504395,0,0
04053,0.0,0.0,2.4025793075561523,0,0
02921,0.0,0.0,3.171509265899658,0,0
06767,0.0,0.0,3.29109787940979,0,0
05730,0.0,0.0,2.1363868713378906,0,0
04306,0.0,0.0,3.131540536880493,0,0
03588,0.0,0.0,3.1658339500427246,0,0
07795,0.0,0.0,3.249014139175415,0,0
10312,0.0,0.0,3.274341106414795,0,0
04329,0.0,0.0,2.785224437713623,0,0
12185,0.0,0.0,3.299208402633667,0,0
05248,0.0,0.0,3.250833034515381,0,0
05582,0.0,0.0,3.279215097427368,0,0
04447,0.0,0.0,3.286181926727295,0,0
11191,1.0,1.0,3.1481144428253174,1,1
11756,0.0,0.0,3.152780532836914,0,0
10530,0.0,0.0,2.543722629547119,0,0
02263,0.0,0.0,3.0729141235351562,0,0
00693,0.0,0.0,3.2719368934631348,0,0
10908,0.0,0.0,3.0822958946228027,0,0
03624,0.0,0.0,3.185253620147705,0,0
03005,0.0,0.0,3.292292594909668,0,0
06209,0.0,0.0,3.268716335296631,0,0
08760,0.0,0.0,3.1679129600524902,0,0
04261,0.0,0.0,3.2862424850463867,0,0
04903,0.0,0.0,3.1848857402801514,0,0
01715,0.0,0.0,3.2072715759277344,0,0
07125,0.0,0.0,3.2500839233398438,0,0
00289,0.0,0.0,2.5442543029785156,0,0
06572,0.0,0.0,3.249147415161133,0,0
02690,0.0,0.0,3.263181447982788,0,0
06496,0.0,0.0,3.2151072025299072,0,0
05145,0.0,0.0,3.26886248588562,0,0
00734,0.0,0.0,3.1894631385803223,0,0
10098,0.0,0.0,3.1034767627716064,0,0
10746,0.0,0.0,3.2979094982147217,0,0
04509,0.0,0.0,3.303692102432251,0,0
02545,0.0,0.0,2.643749475479126,0,0
09811,0.0,0.0,3.193939208984375,0,0
00056,0.0,0.0,3.2343902587890625,0,0
02014,0.0,0.0,3.154911518096924,0,0
05846,0.0,0.0,3.150942802429199,0,0
12595,0.0,0.0,3.2506227493286133,0,0
01833,0.0,0.0,3.292027473449707,0,0
09717,0.0,0.0,2.8071060180664062,0,0
10084,1.0,0.0,1.9737660884857178,1,0
07606,0.0,0.0,3.1566014289855957,0,0
01320,0.0,0.0,1.460614562034607,0,0
03249,0.0,0.0,3.2666826248168945,0,0
03013,1.0,1.0,2.935126304626465,1,1
08310,0.0,0.0,3.230496883392334,0,0
07369,0.0,0.0,3.2147161960601807,0,0
01079,0.0,0.0,3.2499656677246094,0,0
05436,0.0,0.0,3.2640867233276367,0,0
10164,1.0,1.0,2.097137451171875,1,1
06702,0.0,0.0,3.1576902866363525,0,0
01136,0.0,0.0,3.282761812210083,0,0
08339,0.0,0.0,3.1316184997558594,0,0
07333,0.0,0.0,3.295339822769165,0,0
00304,1.0,0.0,0.9488741755485535,1,0
00350,0.0,0.0,3.2901954650878906,0,0
04233,0.0,0.0,1.9295774698257446,0,0
11603,0.0,0.0,2.1052122116088867,0,0
00158,1.0,0.0,1.4563329219818115,1,0
09630,0.0,0.0,2.521688461303711,0,0
01314,0.0,0.0,3.2259349822998047,0,0
06451,0.0,0.0,1.9935262203216553,0,0
02318,0.0,0.0,3.073615312576294,0,0
07884,0.0,0.0,3.1609511375427246,0,0
04966,0.0,0.0,2.771141529083252,0,0
09424,1.0,0.0,1.7061703205108643,1,0
09178,0.0,0.0,3.1894617080688477,0,0
02888,0.0,0.0,3.2817418575286865,0,0
06537,0.0,0.0,2.857815742492676,0,0
06649,0.0,0.0,2.8512725830078125,0,0
07217,0.0,0.0,2.93310809135437,0,0
01343,0.0,0.0,3.2954587936401367,0,0
07788,0.0,0.0,3.286059856414795,0,0
07835,0.0,0.0,3.032966136932373,0,0
10083,0.0,0.0,3.183832883834839,0,0
10863,0.0,0.0,3.139162063598633,0,0
01531,0.0,0.0,3.275407552719116,0,0
04321,0.0,0.0,3.2910373210906982,0,0
02113,0.0,0.0,3.238767623901367,0,0
05550,0.0,0.0,2.9949185848236084,0,0
09987,0.0,0.0,3.2862167358398438,0,0
04336,0.0,0.0,2.5269460678100586,0,0
03890,0.0,0.0,3.307197093963623,0,0
06615,1.0,1.0,3.1395914554595947,1,1
