guid,input,output,logit,input_label,output_label
00731,0.0,0.0,1.0440568923950195,0,0
06916,0.0,0.0,1.044015884399414,0,0
00282,0.0,0.0,1.0439881086349487,0,0
05323,0.0,0.0,1.0439977645874023,0,0
08672,0.0,0.0,1.0440223217010498,0,0
06213,0.0,0.0,1.0440587997436523,0,0
04291,0.0,0.0,1.044052243232727,0,0
07236,0.0,0.0,1.0440622568130493,0,0
01497,0.0,0.0,1.0440399646759033,0,0
11964,0.0,0.0,1.0440350770950317,0,0
03094,1.0,0.0,1.043958306312561,1,0
01817,0.0,0.0,1.044053554534912,0,0
06774,0.0,0.0,1.0440595149993896,0,0
11512,0.0,0.0,1.0440648794174194,0,0
09487,0.0,0.0,1.0440086126327515,0,0
04053,0.0,0.0,1.0440428256988525,0,0
02921,0.0,0.0,1.0440020561218262,0,0
06767,0.0,0.0,1.0440171957015991,0,0
05730,0.0,0.0,1.0440483093261719,0,0
04306,0.0,0.0,1.0440007448196411,0,0
03588,0.0,0.0,1.0440466403961182,0,0
07795,1.0,0.0,1.0440428256988525,1,0
10312,1.0,0.0,1.0439224243164062,1,0
04329,0.0,0.0,1.0439807176589966,0,0
12185,0.0,0.0,1.04407799243927,0,0
05248,0.0,0.0,1.0440118312835693,0,0
05582,0.0,0.0,1.0440046787261963,0,0
04447,0.0,0.0,1.0440406799316406,0,0
11191,0.0,0.0,1.0440181493759155,0,0
11756,0.0,0.0,1.0440254211425781,0,0
10530,0.0,0.0,1.0440280437469482,0,0
02263,0.0,0.0,1.0440503358840942,0,0
00693,0.0,0.0,1.0440459251403809,0,0
10908,0.0,0.0,1.0440337657928467,0,0
03624,0.0,0.0,1.0440592765808105,0,0
03005,0.0,0.0,1.0440146923065186,0,0
06209,0.0,0.0,1.0439984798431396,0,0
08760,0.0,0.0,1.0440316200256348,0,0
04261,0.0,0.0,1.0440104007720947,0,0
04903,0.0,0.0,1.043990135192871,0,0
01715,1.0,0.0,1.043938159942627,1,0
07125,0.0,0.0,1.0440363883972168,0,0
00289,1.0,0.0,1.0440109968185425,1,0
06572,0.0,0.0,1.044028401374817,0,0
02690,0.0,0.0,1.0440378189086914,0,0
06496,0.0,0.0,1.044043779373169,0,0
05145,0.0,0.0,1.0439965724945068,0,0
00734,0.0,0.0,1.0440397262573242,0,0
10098,0.0,0.0,1.0440638065338135,0,0
10746,0.0,0.0,1.0439927577972412,0,0
04509,0.0,0.0,1.0440484285354614,0,0
02545,0.0,0.0,1.0440367460250854,0,0
09811,0.0,0.0,1.0440179109573364,0,0
00056,0.0,0.0,1.0440444946289062,0,0
02014,0.0,0.0,1.0440161228179932,0,0
05846,0.0,0.0,1.0440318584442139,0,0
12595,0.0,0.0,1.0440566539764404,0,0
01833,0.0,0.0,1.0440196990966797,0,0
09717,0.0,0.0,1.0440086126327515,0,0
10084,0.0,0.0,1.0440387725830078,0,0
07606,0.0,0.0,1.044013261795044,0,0
01320,0.0,0.0,1.0440242290496826,0,0
03249,0.0,0.0,1.0440154075622559,0,0
03013,0.0,0.0,1.0440568923950195,0,0
08310,0.0,0.0,1.044057011604309,0,0
07369,0.0,0.0,1.0440394878387451,0,0
01079,0.0,0.0,1.0440247058868408,0,0
05436,0.0,0.0,1.0440597534179688,0,0
10164,0.0,0.0,1.0440317392349243,0,0
06702,0.0,0.0,1.0440480709075928,0,0
01136,0.0,0.0,1.0440634489059448,0,0
08339,0.0,0.0,1.0440385341644287,0,0
07333,0.0,0.0,1.044037103652954,0,0
00304,0.0,0.0,1.043986201286316,0,0
00350,0.0,0.0,1.0440256595611572,0,0
04233,0.0,0.0,1.0440452098846436,0,0
11603,0.0,0.0,1.0440515279769897,0,0
00158,0.0,0.0,1.0440547466278076,0,0
09630,0.0,0.0,1.0440517663955688,0,0
01314,0.0,0.0,1.0440659523010254,0,0
06451,1.0,0.0,1.0440268516540527,1,0
02318,1.0,0.0,1.0440798997879028,1,0
07884,0.0,0.0,1.044089913368225,0,0
04966,0.0,0.0,1.044011116027832,0,0
09424,0.0,0.0,1.044039249420166,0,0
09178,0.0,0.0,1.0440188646316528,0,0
02888,0.0,0.0,1.0440623760223389,0,0
06537,0.0,0.0,1.043973684310913,0,0
06649,0.0,0.0,1.0440330505371094,0,0
07217,0.0,0.0,1.0440855026245117,0,0
01343,0.0,0.0,1.0440517663955688,0,0
07788,0.0,0.0,1.0440490245819092,0,0
07835,0.0,0.0,1.0440614223480225,0,0
10083,0.0,0.0,1.0440223217010498,0,0
10863,0.0,0.0,1.0440775156021118,0,0
01531,0.0,0.0,1.0440601110458374,0,0
04321,0.0,0.0,1.0440659523010254,0,0
02113,0.0,0.0,1.0439988374710083,0,0
05550,1.0,0.0,1.043993592262268,1,0
09987,0.0,0.0,1.0440335273742676,0,0
04336,0.0,0.0,1.0440276861190796,0,0
03890,1.0,0.0,1.0440205335617065,1,0
06615,0.0,0.0,1.0440599918365479,0,0
07696,0.0,0.0,1.0440362691879272,0,0
10634,0.0,0.0,1.044023036956787,0,0
04869,1.0,0.0,1.0439987182617188,1,0
00333,0.0,0.0,1.0440568923950195,0,0
08048,0.0,0.0,1.04403555393219,0,0
07783,0.0,0.0,1.0440723896026611,0,0
12089,0.0,0.0,1.0439155101776123,0,0
09467,0.0,0.0,1.0440489053726196,0,0
03322,0.0,0.0,1.0440518856048584,0,0
10715,0.0,0.0,1.044026494026184,0,0
10654,0.0,0.0,1.044037103652954,0,0
09649,0.0,0.0,1.044013261795044,0,0
09118,0.0,0.0,1.0440162420272827,0,0
04290,0.0,0.0,1.044008493423462,0,0
12993,0.0,0.0,1.0440444946289062,0,0
08522,0.0,0.0,1.044060468673706,0,0
10817,0.0,0.0,1.043981909751892,0,0
02823,0.0,0.0,1.044026494026184,0,0
06795,0.0,0.0,1.0440465211868286,0,0
00846,0.0,0.0,1.0440094470977783,0,0
06195,1.0,0.0,1.0440117120742798,1,0
02930,0.0,0.0,1.043999195098877,0,0
02808,0.0,0.0,1.044034719467163,0,0
04859,0.0,0.0,1.044026494026184,0,0
02029,0.0,0.0,1.0440770387649536,0,0
08498,0.0,0.0,1.0440309047698975,0,0
00265,0.0,0.0,1.0440049171447754,0,0
02856,0.0,0.0,1.0439903736114502,0,0
12331,0.0,0.0,1.044018268585205,0,0
12342,1.0,0.0,1.044027328491211,1,0
04207,0.0,0.0,1.0440447330474854,0,0
00354,1.0,0.0,1.044044017791748,1,0
07521,0.0,0.0,1.04402494430542,0,0
07756,0.0,0.0,1.0440192222595215,0,0
04607,0.0,0.0,1.0440260171890259,0,0
11897,0.0,0.0,1.0440540313720703,0,0
05011,0.0,0.0,1.044032335281372,0,0
05544,0.0,0.0,1.0440430641174316,0,0
01355,0.0,0.0,1.0440268516540527,0,0
12661,1.0,0.0,1.044014573097229,1,0
02646,0.0,0.0,1.0440305471420288,0,0
04241,0.0,0.0,1.0440396070480347,0,0
03226,0.0,0.0,1.044020175933838,0,0
10121,0.0,0.0,1.044042706489563,0,0
00657,0.0,0.0,1.044069528579712,0,0
12431,0.0,0.0,1.044061541557312,0,0
